identifier,close_time,merged,edited,repo,repo_age,repo_commits,experience,open_tasks,pull_lines,pull_desc_len
nodejs/node#44710,17869856,1,1,nodejs/node,4963,37115,21,397,1454,4
flutter/flutter#103975,10920,0,0,flutter/flutter,2763,28954,0,192,926,328
flutter/flutter#36757,474897,0,0,flutter/flutter,1734,14989,0,113,5,43
flutter/flutter#50259,90971,0,0,flutter/flutter,1932,17502,0,158,25,14
tensorflow/tensorflow#37514,164996,1,1,tensorflow/tensorflow,1587,81228,10,248,54,0
electron/electron#24054,70988,1,0,electron/electron,2647,23657,720,70,58,136
nodejs/node#17159,760770,0,0,nodejs/node,3200,19922,339,200,394,170
vercel/next.js#19445,70611,0,0,vercel/next.js,1510,7392,0,153,29,0
tensorflow/tensorflow#57537,163715,1,1,tensorflow/tensorflow,2489,134478,2,235,10,87
electron/electron#14651,2758310,0,1,electron/electron,2014,20092,0,38,142,166
microsoft/vscode#161000,3098652,0,0,microsoft/vscode,2499,100763,1,356,1,64
electron/electron#37341,21106,0,0,electron/electron,3630,27102,0,100,9,215
nodejs/node#20745,10210256,0,1,nodejs/node,3376,22355,15,147,41,289
nodejs/node#3933,40312777,0,0,nodejs/node,2469,12568,0,188,3,0
golang/go#39494,47839398,0,0,golang/go,17494,44320,0,187,4,266
flutter/flutter#44778,176939,1,1,flutter/flutter,1847,16553,64,154,249,478
tensorflow/tensorflow#27678,155520,1,0,tensorflow/tensorflow,1250,54907,1,406,568,13
facebook/react#22995,111185,0,0,facebook/react,3127,14695,0,248,17,384
facebook/react#22995,111185,0,0,facebook/react,3127,14695,0,248,17,384
axios/axios#2541,7339572,0,1,axios/axios,1911,889,5,138,85,0
flutter/flutter#34870,292829,1,1,flutter/flutter,1703,14666,1,98,191,4
twbs/bootstrap#17815,7760731,0,0,twbs/bootstrap,1625,13129,2,115,7,0
flutter/flutter#85113,18106466,0,1,flutter/flutter,2435,24668,1,184,2,324
flutter/flutter#85113,18106466,0,1,flutter/flutter,2435,24668,1,184,2,324
flutter/flutter#85113,18106466,0,1,flutter/flutter,2435,24668,1,184,2,324
flutter/flutter#85113,18106466,0,1,flutter/flutter,2435,24668,1,184,2,324
vercel/next.js#22202,25544637,0,1,vercel/next.js,1594,7832,0,135,62,0
nodejs/node#2359,745798,0,0,nodejs/node,2369,11909,0,106,10,21
nodejs/node#9483,8266835,0,0,nodejs/node,2821,15302,181,292,93,218
tensorflow/tensorflow#55196,924988,1,1,tensorflow/tensorflow,2317,126482,50,335,22,4
electron/electron#19698,1586259,1,1,electron/electron,2340,22308,0,69,46,131
axios/axios#4147,496040,1,1,axios/axios,2606,1036,11,85,6,18
electron/electron#13944,1375741,1,1,electron/electron,1971,19761,93,51,48,43
flutter/flutter#120739,633,1,1,flutter/flutter,3037,33358,36,198,27,8
nodejs/node#47125,2072419,1,0,nodejs/node,5142,38458,547,417,684,322
tensorflow/tensorflow#55491,2678050,1,0,tensorflow/tensorflow,2342,127555,58,190,102,60
flutter/flutter#60558,4829018,1,1,flutter/flutter,2077,19379,0,133,2062,0
flutter/flutter#60558,4829018,1,1,flutter/flutter,2077,19379,0,133,2062,0
facebook/react#15022,11498883,1,1,facebook/react,2107,10833,332,145,861,116
tensorflow/tensorflow#50756,4270189,1,1,tensorflow/tensorflow,2076,114260,60,176,287,68
electron/electron#13284,57658,1,1,electron/electron,1924,19250,30,42,4,0
tensorflow/tensorflow#51470,15666875,1,1,tensorflow/tensorflow,2106,116119,0,153,7,18
nodejs/node#38123,488838,0,0,nodejs/node,4434,33416,7,256,2,317
vercel/next.js#40853,1043093,0,1,vercel/next.js,2179,12576,0,214,231,157
flutter/flutter#47389,7635,1,0,flutter/flutter,1883,16996,16,168,2815,20
flutter/flutter#13299,2354,1,1,flutter/flutter,1135,9541,335,21,40,41
facebook/react-native#19489,15782040,0,1,facebook/react-native,1216,13651,2,209,198778,32
flutter/flutter#51223,837916,0,0,flutter/flutter,1948,17694,1,126,1072,569
flutter/flutter#51223,837916,0,0,flutter/flutter,1948,17694,1,126,1072,569
flutter/flutter#29901,90240,0,0,flutter/flutter,1614,13585,0,104,0,343
flutter/flutter#18369,1895217,1,1,flutter/flutter,1328,11100,57,54,1238,26
microsoft/vscode#5489,5472292,1,0,microsoft/vscode,158,4630,16,23,4039,26
facebook/react-native#15688,2015451,0,1,facebook/react-native,943,11612,0,251,1,198
microsoft/vscode#77274,1479309,0,0,microsoft/vscode,1337,51747,96,261,57,0
golang/go#31994,81846857,0,0,golang/go,17100,40421,0,106,2,0
flutter/flutter#29090,34813,0,0,flutter/flutter,1598,13426,0,96,2,422
flutter/flutter#29090,34813,0,0,flutter/flutter,1598,13426,0,96,2,422
flutter/flutter#29090,34813,0,0,flutter/flutter,1598,13426,0,96,2,422
nodejs/node#4507,3631527,1,0,nodejs/node,2511,12820,46,211,395,216
tensorflow/tensorflow#52012,2281978,1,1,tensorflow/tensorflow,2140,117801,53,198,758,20
flutter/flutter#65150,581609,1,1,flutter/flutter,2142,20323,3,186,24,439
facebook/react-native#32435,522412,0,1,facebook/react-native,2454,23438,2,290,1,181
golang/go#31953,78337,0,1,golang/go,17097,40409,0,104,4,399
vercel/next.js#44023,94744,0,1,vercel/next.js,2261,13745,21,229,850,305
tensorflow/tensorflow#47258,314267,1,1,tensorflow/tensorflow,1932,105358,48,212,122,91
flutter/flutter#66512,1578058,0,0,flutter/flutter,2163,20595,0,144,24,583
flutter/flutter#66512,1578058,0,0,flutter/flutter,2163,20595,0,144,24,583
facebook/react-native#28566,96159181,0,0,facebook/react-native,1897,19831,0,89,2,149
flutter/flutter#44980,22316109,1,1,flutter/flutter,1849,16591,0,152,2,475
tensorflow/tensorflow#20430,13397,1,0,tensorflow/tensorflow,966,36094,60,220,12969,0
tensorflow/tensorflow#24293,11573031,1,0,tensorflow/tensorflow,1131,45641,21,280,252,51
electron/electron#11573,8102691,0,0,electron/electron,1759,18074,1,32,3,5
tensorflow/tensorflow#29440,3739925,1,1,tensorflow/tensorflow,1307,59334,0,373,2,0
flutter/flutter#82754,8616,1,1,flutter/flutter,2399,24129,517,169,8,29
tensorflow/tensorflow#53259,24367358,0,0,tensorflow/tensorflow,2216,122023,0,166,16,15
facebook/react-native#10772,22110425,0,0,facebook/react-native,647,8319,0,164,337,135
nodejs/node#12797,1989,0,0,nodejs/node,2998,17310,0,329,25,160
electron/electron#26278,225112,0,0,electron/electron,2788,24273,2,81,41,222
tensorflow/tensorflow#51235,3757086,1,1,tensorflow/tensorflow,2099,115626,1,149,1037,68
facebook/react-native#7625,15542900,0,0,facebook/react-native,476,6379,0,175,699,61
facebook/react-native#7625,15542900,0,0,facebook/react-native,476,6379,0,175,699,61
tensorflow/tensorflow#36969,8802548,0,0,tensorflow/tensorflow,1568,79785,19,242,104,572
facebook/react#21641,2065645,1,1,facebook/react,2932,14212,669,187,3040,144
